name,injury date,return date,days missed,injury type,age,height,weight,reinjured
Alex Len,14 March 2015,21 March 2015,7,1,22,7-1,260,1
Jusuf Nurkic,27 February 2015,13 March 2015,14,1,21,7-0,280,0
Alex Len,07 March 2015,09 March 2015,2,1,22,7-1,260,1
Aaron Gordon,27 February 2015,04 March 2015,5,1,20,6-9,220,0
Kelly Olynyk,23 January 2015,04 March 2015,40,1,24,7-0,238,0
Alex Len,06 February 2015,20 February 2015,14,1,22,7-1,260,1
Ian Mahinmi,08 February 2015,11 February 2015,3,1,29,6-11,250,0
Hassan Whiteside,21 January 2015,25 January 2015,4,1,26,7-0,265,0
Joakim Noah,16 January 2015,23 January 2015,7,1,30,6-11,230,0
DeMarcus Cousins,17 January 2015,19 January 2015,2,1,25,6-11,270,0
Mike Conley,16 January 2015,19 January 2015,3,1,28,6-1,175,0
Enes Kanter,03 January 2015,10 January 2015,7,1,23,6-11,245,0
Taj Gibson,18 December 2014,22 December 2014,4,1,29,6-9,225,0
Joakim Noah,10 December 2014,18 December 2014,8,1,29,6-11,230,1
Derrick Favors,14 December 2014,17 December 2014,3,1,23,6-10,265,0
Reggie Bullock,03 December 2014,13 December 2014,10,1,23,6-7,205,0
James Johnson,21 November 2014,24 November 2014,3,1,27,6-9,250,0
Reggie Jackson,29 October 2014,03 November 2014,5,1,24,6-3,208,0
Mike Conley,01 February 2014,18 February 2014,17,1,27,6-1,175,1
Tyler Zeller,14 December 2013,17 December 2013,3,1,23,7-0,253,0
Enes Kanter,25 November 2013,29 November 2013,4,1,21,6-11,245,0
Kyle O'Quinn,24 November 2013,26 November 2013,2,1,23,6-10,250,0
Tyler Zeller,20 November 2013,22 November 2013,2,1,23,7-0,253,1
LaMarcus Aldridge,29 March 2013,05 April 2013,7,1,28,6-11,260,0
Wesley Matthews,19 February 2013,22 February 2013,3,1,27,6-5,220,0
Stephen Curry,31 January 2013,02 February 2013,2,1,25,6-3,190,0
Ersan Ilyasova,05 January 2013,08 January 2013,3,1,26,6-10,235,0
Derrick Rose,10 April 2012,12 April 2012,2,1,24,6-3,190,0
Stephen Curry,06 January 2012,20 January 2012,14,1,24,6-3,190,1
Stephen Curry,28 December 2011,31 December 2011,3,1,23,6-3,190,1
Joakim Noah,30 March 2011,05 April 2011,6,1,26,6-11,230,0
Tyson Chandler,04 March 2011,09 March 2011,5,1,29,7-1,240,0
Trevor Ariza,07 February 2011,11 February 2011,4,1,26,6-8,215,0
Ben Simmons,20 March 2021,21 March 2021,1,2,25,6-10,230,0
Jeremy Lamb,15 March 2021,19 March 2021,4,2,29,6-5,185,0
Bradley Beal,13 March 2021,14 March 2021,1,2,28,6-5,207,0
