PLAYER,TEAM,INJURED ON,RETURNED,DAYS MISSED,INJURY TYPE
Giannis Antetokounmpo,Bucks,05 September 2020,08 September 2020,3,Sprained Right Ankle
Bruno Caboclo,Rockets,31 July 2020,09 August 2020,9,Sprained Right Ankle
Dewan Hernandez,Raptors,05 March 2020,31 July 2020,148,Sprained Right Ankle
Ky Bowman,Warriors,03 March 2020,10 March 2020,7,Sprained Right Ankle
Dean Wade,Cavaliers,07 March 2020,08 March 2020,1,Sprained Right Ankle
Thon Maker,Pistons,01 March 2020,04 March 2020,3,Sprained Right Ankle
Dewan Hernandez,Raptors,22 December 2019,03 March 2020,72,Sprained Right Ankle
Paul Millsap,Nuggets,01 March 2020,03 March 2020,2,Sprained Right Ankle
Jordan Poole,Warriors,29 February 2020,01 March 2020,1,Sprained Right Ankle
Naz Mitrou-Long,Pacers,25 February 2020,27 February 2020,2,Sprained Right Ankle
Brandon Ingram,Pelicans,08 February 2020,20 February 2020,12,Sprained Right Ankle
Daniel Gafford,Bulls,06 February 2020,20 February 2020,14,Sprained Right Ankle
Luka Doncic,Mavericks,31 January 2020,12 February 2020,12,Sprained Right Ankle
Daniel Theis,Celtics,05 February 2020,09 February 2020,4,Sprained Right Ankle
Jaylen Brown,Celtics,07 February 2020,09 February 2020,2,Sprained Right Ankle
Jerami Grant,Nuggets,05 February 2020,08 February 2020,3,Sprained Right Ankle
RJ Barrett,Knicks,18 January 2020,06 February 2020,19,Sprained Right Ankle
Rondae Hollis-Jefferson,Raptors,28 January 2020,05 February 2020,8,Sprained Right Ankle
PJ Washington,Hornets,03 February 2020,04 February 2020,1,Sprained Right Ankle
Jaylen Brown,Celtics,22 January 2020,26 January 2020,4,Sprained Right Ankle
Glenn Robinson III,Warriors,18 January 2020,22 January 2020,4,Sprained Right Ankle
Naz Mitrou-Long,Pacers,15 December 2019,14 January 2020,30,Sprained Right Ankle
Draymond Green,Warriors,06 January 2020,07 January 2020,1,Sprained Right Ankle
Trae Young,Hawks,28 December 2019,02 January 2020,5,Sprained Right Ankle
Deandre Ayton,Suns,20 December 2019,30 December 2019,10,Sprained Right Ankle
Mo Bamba,Magic,27 December 2019,30 December 2019,3,Sprained Right Ankle
Dragan Bender,Bucks,08 December 2019,26 December 2019,18,Sprained Right Ankle
Luka Doncic,Mavericks,16 December 2019,26 December 2019,10,Sprained Right Ankle
Glenn Robinson III,Warriors,23 December 2019,25 December 2019,2,Sprained Right Ankle
Anthony Davis,Lakers,17 December 2019,19 December 2019,2,Sprained Right Ankle
Deandre Ayton,Suns,27 November 2019,17 December 2019,20,Sprained Right Ankle
Danilo Gallinari,Thunder,09 December 2019,11 December 2019,2,Sprained Right Ankle
Romeo Langford,Celtics,04 December 2019,11 December 2019,7,Sprained Right Ankle
Ty Jerome,Suns,23 October 2019,02 December 2019,40,Sprained Right Ankle
Serge Ibaka,Raptors,09 November 2019,01 December 2019,22,Sprained Right Ankle
Brandon Knight,Cavaliers,20 November 2019,22 November 2019,2,Sprained Right Ankle
Jonathan Isaac,Magic,15 November 2019,20 November 2019,5,Sprained Right Ankle
Myles Turner,Pacers,01 November 2019,16 November 2019,15,Sprained Right Ankle
D'Angelo Russell,Warriors,02 November 2019,08 November 2019,6,Sprained Right Ankle
Alec Burks,Warriors,24 October 2019,30 October 2019,6,Sprained Right Ankle
Rodney McGruder,Clippers,22 October 2019,30 October 2019,8,Sprained Right Ankle
Joel Embiid,76ers,26 October 2019,28 October 2019,2,Sprained Right Ankle
John Henson,Cavaliers,23 October 2019,26 October 2019,3,Sprained Right Ankle
Mitchell Robinson,Knicks,23 October 2019,25 October 2019,2,Sprained Right Ankle
Ryan Broekhoff,Mavericks,23 October 2019,25 October 2019,2,Sprained Right Ankle
Stephen Curry,Warriors,10 April 2019,12 April 2019,2,Sprained Right Ankle
Giannis Antetokounmpo,Bucks,31 March 2019,01 April 2019,1,Sprained Right Ankle
Josh Jackson,Suns,23 March 2019,30 March 2019,7,Sprained Right Ankle
Kyle Lowry,Raptors,20 March 2019,24 March 2019,4,Sprained Right Ankle
Giannis Antetokounmpo,Bucks,19 March 2019,22 March 2019,3,Sprained Right Ankle
Kevin Durant,Warriors,13 March 2019,18 March 2019,5,Sprained Right Ankle
Kyle Kuzma,Lakers,06 March 2019,12 March 2019,6,Sprained Right Ankle
Bruce Brown,Pistons,10 March 2019,11 March 2019,1,Sprained Right Ankle
Gordon Hayward,Celtics,21 February 2019,23 February 2019,2,Sprained Right Ankle
Mike Muscala,Lakers,21 February 2019,23 February 2019,2,Sprained Right Ankle
Elfrid Payton,Pelicans,06 February 2019,22 February 2019,16,Sprained Right Ankle
Jerami Grant,Thunder,11 February 2019,22 February 2019,11,Sprained Right Ankle
De'Anthony Melton,Suns,25 January 2019,20 February 2019,26,Sprained Right Ankle
Cedi Osman,Cavaliers,05 February 2019,13 February 2019,8,Sprained Right Ankle
Lonnie Walker IV,Spurs,07 February 2019,12 February 2019,5,Sprained Right Ankle
Julius Randle,Pelicans,29 January 2019,06 February 2019,8,Sprained Right Ankle
Zach LaVine,Bulls,30 January 2019,02 February 2019,3,Sprained Right Ankle
Steven Adams,Thunder,29 January 2019,01 February 2019,3,Sprained Right Ankle
Kent Bazemore,Hawks,31 December 2018,30 January 2019,30,Sprained Right Ankle
Derrick Rose,Timberwolves,12 January 2019,15 January 2019,3,Sprained Right Ankle
Christian Wood,Bucks,08 January 2019,11 January 2019,3,Sprained Right Ankle
Derrick Rose,Timberwolves,08 January 2019,11 January 2019,3,Sprained Right Ankle
Joe Harris,Nets,07 January 2019,09 January 2019,2,Sprained Right Ankle
Derrick Rose,Timberwolves,30 December 2018,08 January 2019,9,Sprained Right Ankle
Bobby Portis,Bulls,20 December 2018,06 January 2019,17,Sprained Right Ankle
D.J. Augustin,Magic,31 December 2018,02 January 2019,2,Sprained Right Ankle
Cheick Diallo,Pelicans,29 December 2018,31 December 2018,2,Sprained Right Ankle
Julius Randle,Pelicans,19 December 2018,21 December 2018,2,Sprained Right Ankle
Frank Jackson,Pelicans,28 November 2018,02 December 2018,4,Sprained Right Ankle
Michael Kidd-Gilchrist,Hornets,13 November 2018,26 November 2018,13,Sprained Right Ankle
Willy Hernangomez,Hornets,21 November 2018,23 November 2018,2,Sprained Right Ankle
Rondae Hollis-Jefferson,Nets,16 November 2018,17 November 2018,1,Sprained Right Ankle
Elfrid Payton,Pelicans,29 October 2018,16 November 2018,18,Sprained Right Ankle
Jonathan Isaac,Magic,04 November 2018,14 November 2018,10,Sprained Right Ankle
Taurean Prince,Hawks,06 November 2018,07 November 2018,1,Sprained Right Ankle
Emmanuel Mudiay,Knicks,17 October 2018,29 October 2018,12,Sprained Right Ankle
Dennis Smith Jr.,Mavericks,26 October 2018,28 October 2018,2,Sprained Right Ankle
Mike Muscala,76ers,16 October 2018,23 October 2018,7,Sprained Right Ankle
Larry Nance Jr.,Cavaliers,17 October 2018,21 October 2018,4,Sprained Right Ankle
Matthew Dellavedova,Bucks,06 February 2018,11 April 2018,64,Sprained Right Ankle
Troy Daniels,Suns,06 April 2018,08 April 2018,2,Sprained Right Ankle
Jahlil Okafor,Nets,05 April 2018,07 April 2018,2,Sprained Right Ankle
Goran Dragic,Heat,04 April 2018,06 April 2018,2,Sprained Right Ankle
Derrick Rose,Timberwolves,26 March 2018,01 April 2018,6,Sprained Right Ankle
Bam Adebayo,Heat,27 March 2018,29 March 2018,2,Sprained Right Ankle
Giannis Antetokounmpo,Bucks,23 March 2018,25 March 2018,2,Sprained Right Ankle
Stephen Curry,Warriors,09 March 2018,23 March 2018,14,Sprained Right Ankle
Tristan Thompson,Cavaliers,05 March 2018,23 March 2018,18,Sprained Right Ankle
Reggie Jackson,Pistons,28 December 2017,20 March 2018,82,Sprained Right Ankle
