Date,Team,Acquired,Relinquished,Notes
2/1/20,Spurs,LaMarcus Aldridge,,activated from IL
2/1/20,Suns,,Dario Saric,sprained left ankle (DTD)
2/1/20,Warriors,Kevon Looney,,activated from IL
2/1/20,Wizards,Garrison Mathews,,activated from IL
2/2/20,Bulls,,Kris Dunn,placed on IL with sprained MCL in right knee (out for season)
2/2/20,Bulls,Daniel Gafford,,activated from IL
2/2/20,Grizzlies,Brandon Clarke,,activated from IL
2/2/20,Hawks,,Cam Reddish,concussion (DTD)
2/2/20,Mavericks,,Seth Curry,left knee injury (DTD)
2/2/20,Nets,,Kyrie Irving,sprained right knee (DTD)
2/2/20,Nuggets,,Michael Porter Jr.,placed on IL with right ankle injury
2/2/20,Pacers,,T.J. Warren,concussion (DTD)
2/2/20,Pistons,,Markieff Morris,right hip injury (DTD)
2/2/20,Raptors,,Norman Powell,placed on IL with fractured left hand
2/2/20,Suns,,Cameron Johnson,placed on IL with bruised right quadriceps
2/2/20,Suns,,Dario Saric,placed on IL with sprained left ankle
2/2/20,Suns,,Ricky Rubio,sore right ankle (DTD)
2/2/20,Suns,,Ty Jerome,placed on IL with left calf injury
2/2/20,Suns,Jalen Lecque,,activated from IL
2/2/20,Suns,Jared Harper,,activated from IL
2/2/20,Wizards,Moe Wagner,,activated from IL
2/2/20,Wizards,Rui Hachimura,,activated from IL
2/3/20,Cavaliers,,Tristan Thompson,placed on IL with right quadricep injury
2/3/20,Celtics,,Marcus Smart,placed on IL with bruised right thigh
2/3/20,Celtics,Enes Kanter,,activated from IL
2/3/20,Clippers,,Terance Mann,placed on IL
2/3/20,Clippers,Derrick Walton Jr.,,activated from IL
2/3/20,Hawks,,Cam Reddish,placed on IL with concussion
2/3/20,Hawks,,De'Andre Hunter,placed on IL with sprained left ankle
2/3/20,Hawks,Evan Turner,,activated from IL
2/3/20,Hornets,,P.J. Washington,placed on IL with sprained right ankle
2/3/20,Kings,Dewayne Dedmon,,activated from IL
2/3/20,Knicks,Frank Ntilikina,,activated from IL
2/3/20,Magic,,Khem Birch,placed on IL with tightness in lower back
2/3/20,Mavericks,,Seth Curry,placed on IL with left knee injury
2/3/20,Nets,,Kyrie Irving,placed on IL with sprained right knee (out for season)
2/3/20,Pacers,,T.J. Warren,placed on IL with concussion
2/3/20,Pistons,,Derrick Rose,placed on IL with left hip injury
2/3/20,Pistons,,Svi Mykhailiuk,strained right hip (DTD)
2/3/20,Suns,,Tyler Johnson,placed on IL with sore right knee
2/3/20,Suns,Ricky Rubio,,returned to lineup
2/3/20,Warriors,,D'Angelo Russell,bruised right quadriceps (DTD)
2/4/20,Blazers,Jusuf Nurkic,,activated from IL
2/4/20,Cavaliers,Brandon Knight,,activated from IL
2/4/20,Celtics,,Daniel Theis,sprained right ankle (DTD)
2/4/20,Heat,,Meyers Leonard,sprained left ankle (DTD)
2/4/20,Heat,,Tyler Herro,sore right ankle (DTD)
2/4/20,Hornets,P.J. Washington,,activated from IL
2/4/20,Jazz,Tony Bradley,,activated from IL
2/4/20,Nuggets,Jamal Murray,,activated from IL
2/4/20,Pelicans,,Nickeil Alexander-Walker,illness (DTD)
2/4/20,Raptors,Malcolm Miller,,activated from IL
2/4/20,Rockets,,Russell Westbrook,placed on IL with sprained left thumb
2/4/20,Warriors,D'Angelo Russell,,returned to lineup
2/4/20,Bucks,Frank Mason,,returned to lineup
2/5/20,Blazers,,Nassir Little,sprained left ankle (DTD)
2/5/20,Celtics,,Daniel Theis,placed on IL with sprained right ankle
2/5/20,Grizzlies,,Marko Guduric,placed on IL with illness
2/5/20,Hawks,Bruno Fernando,,activated from IL
2/5/20,Hawks,De'Andre Hunter,,activated from IL
2/5/20,Heat,,Kyle Alexander,right knee injury (DTD)
2/5/20,Heat,,Meyers Leonard,placed on IL with sprained left ankle
2/5/20,Heat,,Tyler Herro,placed on IL with sore right ankle
2/5/20,Heat,Gabe Vincent,,activated from IL
2/5/20,Magic,Khem Birch,,activated from IL
2/5/20,Mavericks,,Jose Barea ,placed on IL with sprained left ankle
2/5/20,Nets,,Nicolas Claxton,placed on IL with sore left shoulder
2/5/20,Nuggets,,Jerami Grant,sprained right ankle (DTD)
2/5/20,Nuggets,,Will Barton,right knee inflammation (DTD)
2/5/20,Pelicans,Nickeil Alexander-Walker,,returned to lineup
2/5/20,Pistons,,Markieff Morris,placed on IL with illness
2/5/20,Raptors,Rondae Hollis-Jefferson,,activated from IL
2/5/20,Thunder,,Isaiah Roby,placed on IL
2/5/20,Thunder,Terrance Ferguson,,activated from IL
2/5/20,Timberwolves,Allen Crabbe,,activated from IL
2/5/20,Wizards,,Thomas Bryant,sore right foot (DTD)
2/5/20,Hawks,,Evan Turner,placed on IL
2/5/20,Hawks,Chandler Parsons,,activated from IL
2/5/20,Timberwolves,,Keita Bates-Diop,placed on IL
2/6/20,Bulls,,Daniel Gafford,placed on IL with sprained right ankle
2/6/20,Bulls,,Denzel Valentine,left hamstring injury (DTD)
2/6/20,Grizzlies,Marko Guduric,,activated from IL
2/6/20,Knicks,,Allonzo Trier,placed on IL with illness
2/6/20,Knicks,,Damyean Dotson,placed on IL with illness
2/6/20,Knicks,R.J. Barrett,,activated from IL
2/6/20,Rockets,Russell Westbrook,,activated from IL
2/6/20,Grizzlies,Andre Iguodala,,activated from IL
2/6/20,Hawks,Nene Hilario ,,activated from IL
2/7/20,76ers,Josh Richardson,,activated from IL
2/7/20,Blazers,,Hassan Whiteside,bruised left leg (DTD)
2/7/20,Celtics,,Gordon Hayward,placed on IL with sore left foot
2/7/20,Celtics,,Jaylen Brown,placed on IL with sprained right ankle
2/7/20,Celtics,Kemba Walker,,activated from IL
2/7/20,Celtics,Marcus Smart,,activated from IL
2/7/20,Clippers,,Patrick Beverley,right groin injury (DTD)
2/7/20,Grizzlies,,Dion Waiters,placed on IL
2/7/20,Hawks,,Bruno Fernando,strained left calf (DTD)
2/7/20,Hawks,,Trae Young,right ankle injury (DTD)
2/7/20,Heat,,Jimmy Butler,strained right shoulder (DTD)
2/7/20,Hornets,,Cody Martin,concussion (DTD)
2/7/20,Jazz,,Ed Davis ,placed on IL with back spasms
2/7/20,Mavericks,Jose Barea ,,activated from IL
2/7/20,Mavericks,Seth Curry,,activated from IL
2/7/20,Pistons,,Brandon Knight,placed on IL with sore left knee
2/7/20,Rockets,,Russell Westbrook,placed on IL
2/7/20,Suns,,Jalen Lecque,placed on IL
2/7/20,Suns,,Jared Harper,placed on IL
2/7/20,Suns,Cameron Johnson,,activated from IL
2/7/20,Suns,Ty Jerome,,activated from IL
2/7/20,Wizards,,Thomas Bryant,placed on IL with sore right foot
2/8/20,Cavaliers,Tristan Thompson,,activated from IL
2/8/20,Clippers,,Patrick Beverley,placed on IL with right groin injury
2/8/20,Clippers,Terance Mann,,activated from IL
2/8/20,Hornets,,Cody Martin,placed on IL with concussion
2/8/20,Hornets,,Nicolas Batum,placed on IL with illness
2/8/20,Knicks,Damyean Dotson,,activated from IL
2/8/20,Nets,Nicolas Claxton,,activated from IL
2/8/20,Nuggets,Jerami Grant,,returned to lineup
2/8/20,Nuggets,Jordan McRae,,activated from IL
2/8/20,Nuggets,Keita Bates-Diop,,activated from IL
2/8/20,Nuggets,Paul Millsap,,activated from IL
2/8/20,Pacers,T.J. Warren,,activated from IL
2/8/20,Pelicans,,Brandon Ingram,sprained right ankle (DTD)
2/8/20,Pelicans,,Zion Williamson,sprained left ankle (DTD)
2/8/20,Raptors,,Kyle Lowry,placed on IL with neck injury
2/8/20,Timberwolves,,D'Angelo Russell,placed on IL with bruised right quadriceps
2/8/20,Warriors,,Draymond Green,tightness in lower back (DTD)
2/8/20,Warriors,Alen Smailagic,,activated from IL
2/9/20,76ers,,Zhaire Smith,placed on IL with left knee injury (out for season)
2/9/20,Bulls,,Denzel Valentine,placed on IL with left hamstring injury
2/9/20,Celtics,Daniel Theis,,activated from IL
2/9/20,Celtics,Gordon Hayward,,activated from IL
2/9/20,Celtics,Jaylen Brown,,activated from IL
2/9/20,Hawks,Bruno Fernando,,returned to lineup
2/9/20,Hawks,Trae Young,,returned to lineup
2/9/20,Heat,,Jimmy Butler,placed on IL with strained right shoulder
2/9/20,Knicks,,Moe Harkless,placed on IL with illness
2/9/20,Rockets,,Eric Gordon,placed on IL with bruised left leg
2/9/20,Rockets,Russell Westbrook,,activated from IL
2/10/20,Blazers,,Mario Hezonja,sprained left ankle (DTD)
2/10/20,Hawks,Cam Reddish,,activated from IL
2/10/20,Heat,,K.Z. Okpala,placed on IL
2/10/20,Heat,Jimmy Butler,,activated from IL
2/10/20,Jazz,,Mike Conley Jr.,placed on IL
2/10/20,Pacers,,Edmond Sumner,placed on IL
2/10/20,Pistons,Brandon Knight,,activated from IL
2/10/20,Pistons,Markieff Morris,,activated from IL
2/10/20,Raptors,,Serge Ibaka,placed on IL with illness
2/10/20,Raptors,Kyle Lowry,,activated from IL
2/10/20,Spurs,,DeMar DeRozan,back spasms (DTD)
2/10/20,Suns,,Aron Baynes,placed on IL with sore left hip
2/10/20,Suns,,Deandre Ayton,sore left ankle (DTD)
2/10/20,Suns,Jalen Lecque,,activated from IL
2/10/20,Thunder,,Darius Bazley,right knee injury (out indefinitely)
2/10/20,Timberwolves,D'Angelo Russell,,activated from IL
2/10/20,Warriors,Draymond Green,,returned to lineup
2/10/20,Suns,,Jared Harper,sprained right wrist (DTD)
2/11/20,Blazers,,Anfernee Simons,concussion (DTD)
2/11/20,Blazers,,Jusuf Nurkic,placed on IL
2/11/20,Blazers,,Mario Hezonja,placed on IL with sprained left ankle
2/11/20,Blazers,Anfernee Simons,,returned to lineup
2/11/20,Blazers,Hassan Whiteside,,returned to lineup
2/11/20,Bucks,,Kyle Korver,sore back (DTD)
2/11/20,Pelicans,Zion Williamson,,returned to lineup
2/11/20,Spurs,,DeMar DeRozan,placed on IL with back spasms
2/11/20,Thunder,,Darius Bazley,placed on IL with right knee injury
2/11/20,Wizards,,Anzejs Pasecniks,left hip injury (DTD)
2/11/20,Suns,Tyler Johnson,,activated from IL
2/12/20,Bucks,,Kyle Korver,placed on IL with sore back
2/12/20,Cavaliers,,Kevin Love,placed on IL with sore right Achilles
2/12/20,Hawks,DeAndre Bembry,,activated from IL
2/12/20,Hornets,,Terry Rozier,placed on IL with sore left knee
2/12/20,Hornets,Nicolas Batum,,activated from IL
2/12/20,Jazz,,Mike Conley Jr.,illness (DTD)
2/12/20,Knicks,Allonzo Trier,,activated from IL
2/12/20,Magic,,Mo Bamba,placed on IL with illness
2/12/20,Mavericks,Luka Doncic,,activated from IL
2/12/20,Pistons,Derrick Rose,,activated from IL
2/12/20,Pistons,Svi Mykhailiuk,,returned to lineup
2/12/20,Raptors,Serge Ibaka,,activated from IL
2/12/20,Timberwolves,,Karl-Anthony Towns,placed on IL with fractured left wrist
2/12/20,Warriors,,Kevon Looney,left hip injury (DTD)
2/12/20,Wizards,Anzejs Pasecniks,,returned to lineup
2/13/20,Blazers,,Damian Lillard,strained right groin (DTD)
2/13/20,Celtics,,Jaylen Brown,placed on IL with left calf injury
2/18/20,Nets,,Kyrie Irving,right shoulder injury (out for season)
2/20/20,76ers,,Ben Simmons,placed on IL with tightness in lower back
2/20/20,Blazers,Nassir Little,,returned to lineup
2/20/20,Bucks,George Hill,,activated from IL
2/20/20,Bulls,,Chandler Hutchison,right shoulder injury (DTD)
2/20/20,Bulls,Daniel Gafford,,activated from IL
2/20/20,Cavaliers,,Alfonzo McKinnie,left foot injury (DTD)
2/20/20,Cavaliers,Kevin Love,,activated from IL
2/20/20,Celtics,,Kemba Walker,sore left knee (DTD)
2/20/20,Celtics,Jaylen Brown,,activated from IL
2/20/20,Heat,,Gabe Vincent,placed on IL
2/20/20,Hornets,Cody Martin,,activated from IL
2/20/20,Hornets,Terry Rozier,,activated from IL
2/20/20,Jazz,Ed Davis ,,activated from IL
2/20/20,Kings,Jabari Parker,,activated from IL
2/20/20,Magic,Mo Bamba,,activated from IL
2/20/20,Nets,,Kyrie Irving,surgery on right shoulder (out for season)
2/20/20,Nuggets,Mason Plumlee,,activated from IL
2/20/20,Nuggets,Michael Porter Jr.,,activated from IL
2/20/20,Pelicans,Brandon Ingram,,returned to lineup
2/20/20,Rockets,Bruno Caboclo,,activated from IL
2/20/20,Warriors,Kevon Looney,,returned to lineup
2/21/20,Cavaliers,,Alfonzo McKinnie,placed on IL with left foot injury
2/21/20,Cavaliers,Ante Zizic,,activated from IL
2/21/20,Celtics,,Kemba Walker,placed on IL with sore left knee
2/21/20,Clippers,,Paul George,strained left hamstring (DTD)
2/21/20,Jazz,,Nigel Williams-Goss,left quadriceps injury (DTD)
2/21/20,Jazz,Mike Conley Jr.,,activated from IL
2/21/20,Knicks,,Elfrid Payton,placed on IL with sore right ankle
2/21/20,Magic,D.J. Augustine,,activated from IL
2/21/20,Nuggets,,Keita Bates-Diop,placed on IL
2/21/20,Nuggets,,Vlatko Cancar,placed on IL
2/21/20,Nuggets,Will Barton,,returned to lineup
2/21/20,Pacers,,Edmond Sumner,left hip injury (DTD)
2/21/20,Raptors,,Patrick McCaw,placed on IL with flu
2/21/20,Spurs,DeMar DeRozan,,activated from IL
2/21/20,Suns,,Jalen Lecque,placed on IL
2/21/20,Suns,Aron Baynes,,activated from IL
2/21/20,Suns,Dario Saric,,activated from IL
2/21/20,Suns,Deandre Ayton,,returned to lineup
2/21/20,Suns,Jared Harper,,activated from IL
2/21/20,Thunder,,Deonte Burton,placed on IL with illness
2/21/20,Thunder,Isaiah Roby,,activated from IL
2/21/20,Timberwolves,,Jaylen Nowell,placed on IL with illness
2/21/20,Wizards,Thomas Bryant,,activated from IL
2/22/20,76ers,Ben Simmons,,activated from IL
2/22/20,Bulls,,Luke Kornet,sprained left ankle (DTD)
2/22/20,Cavaliers,,Kevin Love,sore right Achilles (DTD)
2/22/20,Clippers,,Paul George,placed on IL with strained left hamstring
2/22/20,Hawks,,De'Andre Hunter,placed on IL for personal reasons
2/22/20,Hawks,,DeAndre Bembry,placed on IL with abdominal injury
2/22/20,Kings,Alex Len,,activated from IL
2/22/20,Mavericks,,Luka Doncic,placed on IL with sore right ankle
2/22/20,Rockets,,Michael Frazier II,placed on IL
2/22/20,Rockets,Eric Gordon,,activated from IL
2/22/20,Warriors,,Draymond Green,bruised pelvis (DTD)
2/23/20,Blazers,Mario Hezonja,,activated from IL
2/23/20,Bucks,,Brook Lopez,sore back (DTD)
2/23/20,Bulls,,Luke Kornet,placed on IL with sprained left ankle (out for season)
2/23/20,Grizzlies,,Jaren Jackson Jr.,sprained left knee (DTD)
2/23/20,Pacers,,Victor Oladipo,placed on IL with sore lower back
2/23/20,Thunder,Deonte Burton,,activated from IL
2/23/20,Timberwolves,Jaylen Nowell,,activated from IL
2/23/20,Warriors,,Marquese Chriss,left calf injury (DTD)
2/23/20,Lakers,DeMarcus Cousins,,activated from IL
2/24/20,76ers,,Ben Simmons,placed on IL with back injury
2/24/20,76ers,,Norvel Pelle,placed on IL with illness
2/24/20,Bucks,,Brook Lopez,placed on IL with sore back
2/24/20,Cavaliers,Kevin Love,,returned to lineup
2/24/20,Clippers,,Terance Mann,placed on IL
2/24/20,Clippers,Patrick Beverley,,activated from IL
2/24/20,Clippers,Paul George,,activated from IL
2/24/20,Grizzlies,,Jaren Jackson Jr.,placed on IL with sprained left knee
2/24/20,Heat,Gabe Vincent,,activated from IL
2/24/20,Knicks,,Frank Ntilikina,placed on IL with groin injury
2/24/20,Knicks,,Kenny Wooten,left thumb injury (out indefinitely)
2/24/20,Mavericks,,Jalen Brunson,placed on IL with torn labrum in right shoulder (out for season)
2/24/20,Mavericks,Luka Doncic,,activated from IL
2/24/20,Pacers,,Jeremy Lamb,torn ACL in left knee (out for season)
2/24/20,Rockets,,Russell Westbrook,left thumb injury (DTD)
2/24/20,Timberwolves,Jake Layman,,activated from IL
2/24/20,Wizards,,Davis Bertans,placed on IL with sore right knee
2/25/20,Bucks,Brook Lopez,,activated from IL
2/25/20,Bulls,,Chandler Hutchison,placed on IL with right shoulder injury (out for season)
2/25/20,Grizzlies,,Brandon Clarke,right quadricep injury (DTD)
2/25/20,Pacers,,Jeremy Lamb,placed on IL with torn ACL in left knee (out for season)
2/25/20,Pistons,,Bruce Brown,sore left knee (DTD)
2/25/20,Pistons,Khyri Thomas,,returned to lineup
2/25/20,Suns,,Kelly Oubre Jr.,right knee injury (out for season)
2/25/20,Warriors,Marquese Chriss,,returned to lineup
2/25/20,Pacers,,Naz Mitrou-Long ,sprained right ankle (DTD)
2/26/20,Cavaliers,,Andre Drummond,placed on IL with strained left calf
2/26/20,Cavaliers,,Dante Exum,placed on IL with sprained left ankle (out for season)
2/26/20,Hawks,,Dewayne Dedmon,placed on IL with right elbow injury
2/26/20,Knicks,Elfrid Payton,,activated from IL
2/26/20,Lakers,,LeBron James,left groin injury (DTD)
2/26/20,Rockets,,Eric Gordon,placed on IL with bruised right knee
2/26/20,Rockets,,Thabo Sefolosha,illness (DTD)
2/26/20,Rockets,Russell Westbrook,,returned to lineup
2/26/20,Spurs,,LaMarcus Aldridge,placed on IL with strained right shoulder
2/26/20,Suns,,Kelly Oubre Jr.,placed on IL with right knee injury (out for season)
2/26/20,Wizards,Davis Bertans,,activated from IL
2/27/20,76ers,,Joel Embiid,placed on IL with sprained left shoulder
2/27/20,76ers,Norvel Pelle,,activated from IL
2/27/20,Bucks,,Khris Middleton,sore neck (DTD)
2/27/20,Bulls,,Luke Kornet,fractured left foot (out indefinitely)
2/27/20,Kings,,De'Aaron Fox,placed on IL with abdominal injury
2/27/20,Kings,De'Aaron Fox,,activated from IL
2/27/20,Knicks,,Dennis Smith Jr.,concussion (DTD)
2/27/20,Knicks,,Taj Gibson,back spasms (DTD)
2/27/20,Lakers,,LeBron James,placed on IL with left groin injury
2/27/20,Nuggets,,Noah Vonleh,right ankle injury (DTD)
2/27/20,Pacers,Victor Oladipo,,activated from IL
2/27/20,Raptors,,Fred VanVleet,left shoulder injury (DTD)
2/27/20,Raptors,,Serge Ibaka,sore right knee (DTD)
2/27/20,Raptors,Norman Powell,,activated from IL
2/27/20,Raptors,Patrick McCaw,,activated from IL
2/27/20,Rockets,Thabo Sefolosha,,returned to lineup
2/27/20,Thunder,,Danilo Gallinari,sore left ankle (DTD)
2/27/20,Warriors,,Alen Smailagic,placed on IL
2/27/20,Warriors,,Andrew Wiggins,thoracic spasm (DTD)
2/27/20,Warriors,Draymond Green,,returned to lineup
2/27/20,Wizards,,Anzejs Pasecniks,illness (DTD)
2/27/20,Heat,Kyle Alexander,,returned to lineup
2/27/20,Pacers,Naz Mitrou-Long ,,activated from IL
2/28/20,Bucks,,Khris Middleton,placed on IL with sore neck
2/28/20,Grizzlies,,Brandon Clarke,placed on IL with right quadricep injury
2/28/20,Heat,,Gabe Vincent,placed on IL
2/28/20,Nuggets,,Noah Vonleh,placed on IL with right ankle injury
